stt,bot_msg_id,question_msg_id,time,nhan_menu,hanh_dong_dung,ly_do_chinh,ly_do_phu,do_chac,so_tin_nhan_them_30p,tom_tat_y_hoi,giai_thich
29,M16743,M51773,2026-09-14 00:09,THỪA,ANSWER,R1,,thấp,1,Chi tiết về Demo Day,Yêu cầu rộng nhưng có thể trả lời tổng quan. Độ chắc thấp.
30,M24218,M94107,2026-09-14 00:26,THỪA,ANSWER,R1,,cao,5,Nội dung yêu cầu của daily standup hôm nay,"Câu hỏi rõ (hôm nay, nộp lúc 10h, chủ đề gì)."
31,M28060,M80674,2026-09-14 00:28,THỪA,ANSWER,R7,R1,cao,2,Cú pháp daily standup,"Rõ ràng là lệnh /daily-standup, và ngữ cảnh đã có ở 2 tin trước."
32,M35019,M89758,2026-09-14 08:38,THỪA,ANSWER,R1,,cao,2,Daily standup và hoạt động XP bắt đầu từ khi nào,"Câu hỏi rõ, lặp lại đúng chủ đề bot đã đưa menu ở M36672 và M41681."
33,M78977,M95485,2026-09-14 08:39,THỪA,ANSWER,R7,,cao,0,Người hỏi dán lại menu của bot để chọn cả 3,Vòng lặp: bot đưa menu lần 2.
34,M04512,M97872,2026-09-14 08:57,THỪA,ANSWER,R2,,cao,1,Dùng daily standup ở đâu + cách tăng XP,"2 ý rõ ràng, người hỏi trả lời 'lần lượt 1 và 2'."
35,M06366,M31759,2026-09-14 09:02,THỪA,ANSWER,R1,,cao,2,Xin 1 mẫu daily standup,"Trong khoá chỉ có 1 loại daily standup, không cần hỏi mục đích."
36,M23458,M57734,2026-09-14 09:05,THỪA,ANSWER,R2,,cao,6,"Quy cách nộp daily standup: ai nộp, nộp ở đâu, có mẫu không",Nhiều ý nhưng rõ. Mở đầu chuỗi 3 menu liên tiếp.
37,M06312,M79664,2026-09-14 09:06,THỪA,ANSWER,R7,R2,cao,5,Hỏi lại cùng câu quy cách nộp daily standup,Vòng lặp lần 2 cho cùng người hỏi.
38,M68561,M65121,2026-09-14 09:14,THỪA,ANSWER,R7,,cao,4,Dán lại các lựa chọn của menu và xin trả lời,Vòng lặp lần 3. Người hỏi dán tiếp 3 lần nữa.
39,M22139,M51928,2026-09-14 09:25,THỪA,ANSWER,R1,,cao,2,Ghi daily standup ở đâu,"Câu hỏi rõ, 1 ý."
40,M70977,M76319,2026-09-14 09:32,THỪA,ANSWER,R4,,cao,1,Bot có đọc được ngân hàng 382 đề tài không,Câu hỏi có/không về khả năng của bot. Menu lại hỏi tìm ở đâu.
41,M63958,M28018,2026-09-14 09:47,THỪA,ANSWER,R1,,cao,0,Daily standup nhóm có phải nộp không,"Câu hỏi có/không, rõ ràng."
42,M61098,M73225,2026-09-14 09:53,THỪA,ANSWER,R1,,cao,3,/daily-standup làm ở đâu và làm thế nào,Người hỏi đã ghi đúng tên lệnh.
43,M04063,M27846,2026-09-14 09:58,THỪA,ANSWER,R4,,cao,0,Daily standup là báo cáo học cá nhân hay build phase của team,Menu có lựa chọn sai (xem danh sách lệnh bot) và bắt tự chọn đáp án.
44,M90031,,2026-09-14 10:02,LOẠI,,,,,0,(Câu hỏi gốc không có trong pack),"Không đánh giá được, loại khỏi mẫu."
45,M93395,M75939,2026-09-14 10:24,THỪA,ANSWER,R1,,cao,1,Đề xuất ý tưởng ngoài project bank thế nào,Câu hỏi rõ về quy trình.
46,M04702,M88122,2026-09-14 10:39,THỪA,ANSWER,R1,,cao,0,Mentor duty 1 tuần báo cáo mấy lần,"Câu hỏi rõ, 1 ý."
47,M59177,M04524,2026-09-14 11:18,THỪA,ANSWER,R1,,cao,2,Khi nào biết mentor của mình,Câu hỏi rõ về thời điểm.
48,M78739,M66575,2026-09-14 11:18,THỪA,ANSWER,R1,,thấp,3,Lấy data ở đâu để làm dự án,"Trong khoá, dự án gần như chắc là Build Phase. Độ chắc thấp."
49,M20134,M21470,2026-09-14 11:20,THỪA,ANSWER,R3,,cao,1,Chọn topic xong có đổi được không,"Bot không nhận ra lệnh topic pick, đưa lựa chọn đổi nickname."
50,M24876,M03935,2026-09-14 11:23,THỪA,ESCALATE,R1,,thấp,1,Điểm nào ảnh hưởng tới thực tập sau này,"Câu hỏi rõ nhưng là chính sách có thể không có trong tài liệu, nên chuyển TA/BTC."
51,M38995,M32673,2026-09-14 13:33,THỪA,ESCALATE,R4,,cao,1,Chủ đề phần cứng thì tự chuẩn bị hay BTC cấp,"Lựa chọn 1 của menu chính là câu hỏi gốc. Câu này BTC quyết định, nên chuyển TA."
52,M10039,M63545,2026-09-14 13:43,THỪA,ANSWER,R7,,cao,1,Nộp daily standup như thế nào,Tin ngay trước đã nói cách nộp daily stand up.
53,M39531,M54714,2026-09-14 13:55,THỪA,ANSWER,R4,,cao,3,Tổng hợp các cách tăng XP,Menu có lựa chọn XP trong trò chơi. Người hỏi phải giải thích thêm 3 tin.
54,M22633,M31042,2026-09-14 14:00,THỪA,ANSWER,R4,,cao,0,Tài liệu nộp mentor duty gồm gì,Các lựa chọn không liên quan đến mentor duty.
55,M55430,M81204,2026-09-14 15:12,THỪA,ANSWER,R4,,cao,2,Data cho đề tài có phải BTC cấp không,"Các lựa chọn lạc đề (kênh Discord, lệnh bot, ticket)."
56,M14041,M90994,2026-09-14 16:24,THỪA,ANSWER,R7,,cao,1,Cú pháp nộp daily standup,Người hỏi đã hỏi 2 lần trước đó.
57,M41310,M54695,2026-09-14 17:31,THỪA,ANSWER,R4,,cao,1,Điền gì vào trường yesterday/today của daily-standup,"Câu hỏi rõ. Các lựa chọn lạc đề (khung giờ, Zoom)."
58,M59182,M37242,2026-09-14 17:52,THỪA,ANSWER,R3,,cao,1,Làm sao tạo ticket,Bot đọc thành ticker và đưa lựa chọn ticker chứng khoán.
59,M78174,M20366,2026-09-14 18:35,THỪA,ANSWER,R3,,cao,1,Xem rank cá nhân thế nào,"Bot không nhận ra lệnh /rank, đưa lựa chọn rank trong game."
60,M69179,M86498,2026-09-14 19:18,THỪA,ANSWER,R4,,cao,1,Bot lấy được nội dung kênh của nhóm không,Câu hỏi có/không về quyền của bot. Menu hỏi kênh nào.
61,M41223,M39389,2026-09-14 19:49,THỪA,ANSWER,R1,,cao,1,Các cách nhận XP,Câu hỏi rõ.
62,M57683,M83132,2026-09-14 20:23,CẦN,CLARIFY,R6,,thấp,2,Điểm cộng trên lớp xem ở đâu,Có thể là XP Discord hoặc điểm trên VLearn. Hỏi lại 1 câu là hợp lý.
63,M73803,M04968,2026-09-14 22:21,THỪA,ESCALATE,R5,R2,cao,1,"Xác nhận cộng điểm trên lớp, VLearn đã đóng không tạo yêu cầu được","Sự cố hệ thống của cá nhân, nên chuyển TA ngay."
64,M95831,M31751,2026-09-14 23:53,THỪA,ANSWER,R1,,cao,1,Các setup cần thiết trên Phoenix,"Câu hỏi rõ, liệt kê được tất cả."
